page,url,pageBundle,pageEntityId,pageTitle,viewId,displayId,displayTitle,contentTypes,limit,source,rawArgs,argumentDimensions,argumentValues,surfaceLabel
/programs/mba/career-paths,https://som.yale.edu/programs/mba/career-paths,page,144533,MBA Career Paths,stories_grid_with_images,embed_blog,All blogs,story,3,section-context,92,context,MBA (92),
/programs/mba/career-paths,https://som.yale.edu/programs/mba/career-paths,page,144533,MBA Career Paths,stories_grid_with_images,embed_blog,All blogs,story,3,section-context,92,context,MBA (92),
/programs/mba/career-paths/employment-report-2025-26,https://som.yale.edu/programs/mba/career-paths/employment-report-2025-26,page,280293,Employment Report 2025-26,stories_teaser_cards,embed_all,All stories,story,3,section-context,92,context,MBA (92),
/programs/mba/career-paths/employment-report-2025-26,https://som.yale.edu/programs/mba/career-paths/employment-report-2025-26,page,280293,Employment Report 2025-26,stories_teaser_cards,embed_all,All stories,story,3,section-context,92,context,MBA (92),
/programs/mba/integrated-curriculum/global-study,https://som.yale.edu/programs/mba/integrated-curriculum/global-study,page,140881,Global Study,stories_teaser_cards,embed_blog,All blogs,story,3,section-context,92,context,MBA (92),
/programs/mba/integrated-curriculum/global-study,https://som.yale.edu/programs/mba/integrated-curriculum/global-study,page,140881,Global Study,stories_teaser_cards,embed_blog,All blogs,story,3,section-context,92,context,MBA (92),
/programs/mms-asset-management,https://som.yale.edu/programs/mms-asset-management,program,82,Master\u2019s in Asset Management,event_teaser_list,embed_1,Embed,event,3,section-context,930,context,Master's Degree in Asset Management (930),
/programs/mms-asset-management,https://som.yale.edu/programs/mms-asset-management,program,82,Master\u2019s in Asset Management,stories_teaser_cards,embed_blog,All blogs,story,3,section-context,930,context,Master's Degree in Asset Management (930),
/programs/mms-global-business-and-society,https://som.yale.edu/programs/mms-global-business-and-society,program,84,Master\u2019s Degree in Global Business \u0026 Society,event_teaser_list,embed_1,Embed,event,3,section-context,950,context,Master's Degree in Global Business and Society (950),
/programs/mms-global-business-and-society,https://som.yale.edu/programs/mms-global-business-and-society,program,84,Master\u2019s Degree in Global Business \u0026 Society,stories_teaser_cards,embed_blog,All blogs,story,3,section-context,950,context,Master's Degree in Global Business and Society (950),
/programs/mms-global-business-and-society/admissions,https://som.yale.edu/programs/mms-global-business-and-society/admissions,page,126757,Admissions,stories_teaser_cards,embed_blog,All blogs,story,3,section-context,950,context,Master's Degree in Global Business and Society (950),
/programs/mms-global-business-and-society/admissions,https://som.yale.edu/programs/mms-global-business-and-society/admissions,page,126757,Admissions,stories_teaser_cards,embed_blog,All blogs,story,3,section-context,950,context,Master's Degree in Global Business and Society (950),
